Ident,Marker,StemCell,NPC,Neuron,Astrocyte,Astro1,oligo,Astro2,,,Oligo
,AQP4,5047.99280747751,1528.12188232958,-4052.42897523383,24026.5205558305,24898.4592347715,-8870.43083680172,23154.5818768895,,,9072.9299896765
,CD56,3682.0864607747,141988.846175394,38350.5664504048,,51887.7222066023,124939.592083929,6495.41532048108,,,143482.110460663
,GLAST,15.0085921441022,2179.27193096849,-195.190118760537,,3635.7400142933,4842.29595781756,32.3091554771822,,,1374.81359492647
,CD140a,-2599.68998256856,-856.489151666552,-576.022778795114,,49258.5193501371,1183.03564610234,-62.3857889789759,,,-450.126813337393
,CD29,36377.1198595448,15839.1054288322,3675.03376289976,,48189.8651057054,54674.9474270222,77473.1967538954,,,40381.6574067199
,CD44,5169.76672583687,140942.888723763,9258.74108610216,,215569.554599106,203791.94035089,153216.613438959,,,148335.939769184
,CD71,6028.0317102176,4254.54010769027,5499.12785694798,,24276.2733573274,4824.0445496112,7425.71889587057,,,5395.61328903555
,CD24,75606.0212092722,50238.6755295372,45544.4076907812,,8008.49769992835,86756.8139610868,4102.27061858227,,,33283.3800829023
,CD15,1554.15055976331,91027.8248306444,45109.6654762774,,17115.9071376616,48459.9724078155,7808.78665421732,,,6333.3107391163
,O4,631.437722158593,288.551710554337,37.296881227598,,3093.42974602412,14981.0706679142,1352.87850240411,,,6531.40911851637
,HepaCAM,76.4998018206502,-269.14522148267,0.911502598590181,,2875.57205051722,1413.06610560272,41.0305360242013,,,-432.172607652123
,CD133,52477.3816158303,76634.1246410777,755.226089567395,,-688.839555520706,44617.8364747365,4888.34126702257,,,28638.9874755533
