Gene.symbol,Marker,StemCell,NPC,Neuron,Astrocytes,OPC,Oligo,RG,Endothelial,Pericyte,Epithelial,Microglia
Aqp4,AQP4,NA,NA,11.6,317.6,11.2,1.1,NA,1.2,NA,NA,0.8
Cd24a,CD24,NA,NA,95.7,13.764711,5.3,0.65,NA,29.9,NA,NA,1.6
Cd44,CD44,NA,NA,2.2,16.0638525,0.6,0.15,NA,0.3,NA,NA,2
Cxcr4,CD184,NA,NA,35.1,4,3.7,1.3,NA,61.3,NA,NA,8
Fut4,CD15,NA,NA,0.1,0.1,0.5,0.1,NA,1.4,NA,NA,0.5
Hepacam,HepaCam,NA,NA,8,154.8,77.4,38,NA,0.6,NA,NA,2.5
Itgb2,CD29,NA,NA,0.4,0.1,5.8,0.65,NA,0.8,NA,NA,160
NCAM1,CD56,NA,NA,65.5,166.3,109.8,134,NA,0.4,NA,NA,1.4
Nkx6-2,O4,NA,NA,0.1,0.1,0.1,38.95,NA,0.1,NA,NA,0.2
Pdgfra,CD140a,NA,NA,8.8,0.1,596.2,40.15,NA,0.4,NA,NA,0.3
Prom1,Cd133,NA,NA,1.2,14.9,1.8,24.3,NA,151.9,NA,NA,0.4
Slc1a3,Glast,NA,NA,45.6,1144.1,161.3,15.6,NA,3.9,NA,NA,17.6
Tfrc,CD71,NA,NA,16.3,28.8,17.5,19.7,NA,798.2,NA,NA,5.5
