Gene,Marker,StemCell,NPC,Neuron,Astrocyte,OPC,Oligo,RG,Endothelial,Pericyte,Epithelial,Microglia
AQP4,AQP4,0,NA,0.001098026243333,0.000297278,NA,NA,4.89933575E-06,NA,NA,NA,NA
CD24,CD24,1.45805515,NA,1.4911411,0.50905732,NA,NA,0.820737035,NA,NA,NA,NA
CD44,CD44,0.006616271,NA,0.0028276135,0.064296065,NA,NA,0.01233590425,NA,NA,NA,NA
CXCR4,CD184,0.13031245,NA,0.18128429,0.28066701,NA,NA,0.3096202825,NA,NA,NA,NA
Fut4/ssea1,CD15,0,NA,0,0,NA,NA,9.904528E-05,NA,NA,NA,NA
HepaCam,HEPACAM,0.00045877985,NA,0.003605834615,0.00020426505,NA,NA,1.6633699E-05,NA,NA,NA,NA
ITGB1,CD29,0.355738895,NA,0.205752303333333,0.38720907,NA,NA,0.2837173875,NA,NA,NA,NA
NCAM1,CD56,0.40935585,NA,0.37158851,0.18760467,NA,NA,0.19638778,NA,NA,NA,NA
NKX6-2,O4,0.00021189268,NA,0.0003486618,0,NA,NA,7.56157365E-05,NA,NA,NA,NA
PDGFRA,CD140a,0.01831419335,NA,0.008103800966667,0.0108982525,NA,NA,0.0052068773,NA,NA,NA,NA
PROM1,CD133,0.0113771925,NA,0.011095786666667,0.0313644995,NA,NA,0.027216524,NA,NA,NA,NA
SLC1A3,Glast,0.067603955,NA,0.035374339333333,0.121727955,NA,NA,0.11913944075,NA,NA,NA,NA
TFRC,CD71,0.064920065,NA,0.041288929,0.104087975,NA,NA,0.067954448,NA,NA,NA,NA
