,AQP4|AQP4,SLC1A3|SLC1A3,HEPACAM|HEPACAM,CD44|CD44,NCAM1|NCAM1,CD24|CD24,FUT4|FUT4,CXCR4|CXCR4,FOXO4|FOXO4,PDGFRA|PDGFRA,ITGB1|ITGB1,TFRC|TFRC,PROM1|PROM1,NKX2-2|NKX2-2
DeepLayer,0.00013499692,0.050407406,0.00047131177,0.0024949154,0.7779222,1.2372086,0.0,0.03563359,0.003038196,0.00055832637,0.15360545,0.06841202,0.0053846147,0.0
Astrocyte,0.000594556,0.17342047,0.0004085301,0.05149783,0.23867182,0.49065644,0.0,0.25897506,0.00044951038,0.005774421,0.38408318,0.11892047,0.035562135,0.0
panNeuron,3.914882e-05,0.025128962,0.00010988891,0.0032568255,0.5486541,1.3991561,0.0,0.12238544,0.002599605,0.0051765335,0.15951765,0.05735061,0.00568398,0.0010459854
lowquality,0.0,0.077204876,0.0,0.01308431,0.09928898,0.9678747,0.0008008653,0.30634972,0.0031107247,0.0011332792,0.3310072,0.0691569,0.03808564,1.7974238e-05
Interneuron,0.0030716886,0.03928011,0.010650943,0.0,0.34588894,1.8171216,0.0,0.2635391,0.0,0.015704121,0.26696506,0.02402014,0.012360858,0.0
glycolyticRG,0.0,0.1455751,2.9333403e-05,0.019530103,0.24836454,0.86528087,0.00019811606,0.3741701,0.0037579257,0.0055705756,0.2851002,0.08937542,0.017068451,7.1527786e-05
glycolyticneurons,0.00018324131,0.041713946,5.6671935e-05,0.005226015,0.22022249,1.2571456,0.0,0.15792833,0.0033933711,0.0034307484,0.1907742,0.042496037,0.015242522,0.0
hindbrainAstrocyte,0.0,0.07003544,0.0,0.0770943,0.13653752,0.5274582,0.0,0.30235896,0.0062942402,0.016022084,0.39033496,0.08925548,0.027166864,0.0
Unknown,0.0069434787,0.059387084,0.0074973656,0.0,0.6308872,1.8372122,0.0,0.100699574,0.0,0.008076331,0.13333644,0.04347981,0.005411692,0.0
hindbrainRG,0.0,0.031407423,0.0,0.009649088,0.18884078,0.90625155,0.0,0.23386866,0.0038124423,0.010760325,0.24496217,0.067986585,0.019164328,0.00015592063
earlyRG,0.0,0.16859147,0.0,0.008262223,0.15944244,0.58418316,0.0,0.30318967,0.0014403999,0.0018665041,0.24523376,0.045425527,0.025805602,0.0
Newborn,0.0,0.075729586,0.0,0.007131377,0.5279632,1.7240417,0.0,0.18352713,0.0048090797,0.033406578,0.33806607,0.06578478,0.012567304,0.00042378536
UpperLayer,5.4240012e-05,0.04070523,0.0,0.002923393,0.65259486,1.3329601,0.0,0.035266027,0.00080857007,0.00026732983,0.12965302,0.07313496,0.0019484072,0.0
Outlier,0.047646604,0.4985049,0.08290391,0.0,0.24226436,0.6932279,0.0,0.36783832,0.0,0.025982931,0.5838639,0.06321503,0.059395656,0.0
panRG,1.9597343e-05,0.13098377,3.7201393e-05,0.011902203,0.18890336,0.92723256,0.00019806506,0.3272527,0.0037320312,0.0026301045,0.35957342,0.06903026,0.046827715,7.501453e-05
MatureIPC,0.0,0.059478324,0.0009175597,0.006101165,0.2907485,1.1920686,0.0,0.07709777,0.0021202678,0.0032218087,0.37341172,0.06405535,0.010187081,0.0
