"","1","2","3","4","5","6","7","8","9","10","11","12","13"
"StemCell",0.0974444390278766,0.542617999479925,0.0426805726481742,0.342548339721103,0.119419279534629,0.321488108363394,0.776039204606306,0.589347486460006,0.111406812387217,0.3789373000321,0.606642156568603,0.260334373660326,0.569404592219596
"NPC",0,1,0.435828141658664,0.482965589568666,0,0.0952757772948207,0.764535875278515,0.791104668325097,0,0,0,0,0
"Neuron",0.00815207405158382,0.649999261098003,0,0,0.0992412484620589,0.0231388204315289,0.0061352122021355,1,0.0118725842186436,0.07656479592929,0.172280649389095,0.0127292364634318,0.517966141742873
"Astrocyte",0.184306387819394,0.204447864105888,0.217902906233572,0.600685795035604,0.176039019245667,0.795213276275378,0.740732599100637,0.464594743403517,1,0,0.48483321576736,1,0.551553175772528
"OPC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oligo",0.337977251299972,0.21504472179593,0.218637330854837,1,0.0655692342363692,0.74906410725371,1,0.194247597012218,0,0.0279083948413189,1,0.498530021121924,0.561225979758667
"RG",1,0.00287362364583167,0.438407553122963,0.54477492716446,0.088187414410275,1,0.694100463244964,0.270283017628371,0,0,0.101986431155672,0.461461456762769,1
"Endothelial",0.0294892507682955,0.324478001063243,0.404904433536874,0.281414348013831,1,0.12007809817509,0.617220908901635,0.182315748976133,0.140683673055693,0,0.62797160796716,0.113565840213378,0.144692681063744
"Pericyte",0.00375924202580028,0.631200414289889,0.0948042799626668,0.0351438180581101,0.166739811950917,0,0,0.399342714119848,0.0844798710850494,0.0496377984739553,0.272933358514351,0.0274515906657317,0.231245570151183
"Epithelial",0.350159322080115,0.363046477727096,1,0.117023233504578,0.506918622577464,0.672842262202695,0.874788623418575,0.259038218998636,0.0284363316450751,1,0.493104878041695,0.207897415274272,0.740473968277838
"Microglia",0.327558332685426,0,0.180391126913198,0.105209371600241,0.193691008126731,0.280348410416337,0.104801277198084,0,0,0,0.266831800164547,0.138656149866973,0.464762601938646
