,Gene.symbol,Astrocytes,Neuron,Oligodendrocyte.Precursor.Cell,Newly.Formed.Oligodendrocyte,Myelinating.Oligodendrocytes,Microglia,Endothelial.Cells
7,Aqp4,317.6,11.6,11.2,0.8,1.4,0.8,1.2
1,Cd24a,13.764711,95.7,5.3,0.5,0.8,1.6,29.9
10,Cd44,16.0638525,2.2,0.6,0.1,0.2,2,0.3
4,Cxcr4,4,35.1,3.7,0.9,1.7,8,61.3
14,Fut4,0.1,0.1,0.5,0.1,0.1,0.5,1.4
9,Hepacam,154.8,8,77.4,28.1,47.9,2.5,0.6
5,Itgb1,70,19.8,71.4,81.8,33.9,45.4,275.9
13,Itgb2,0.1,0.4,5.8,0.4,0.9,160,0.8
2,Ncam1,166.3,65.5,109.8,193.1,74.9,1.4,0.4
12,Nes,11.3,1.1,2,0.2,0.1,2.3,43.6
8,Pdgfra,0.1,8.8,596.2,79.6,0.7,0.3,0.4
11,Prom1,14.9,1.2,1.8,39.5,9.1,0.4,151.9
3,Slc1a3,1144.1,45.6,161.3,12.4,18.8,17.6,3.9
6,Tfrc,28.8,16.3,17.5,24.3,15.1,5.5,798.2
