Marker,StemCell,NPC,Neuron,Astrocyte,OPC,Oligo,RG,Endothelial,Pericyte,Epithelial,Microglial
AQP4,0.02385,NA,0,1.0791,0.4781,NA,0.0705,NA,NA,NA,0
CD24,2.71225,NA,4.2076,1.5754,2.2047,NA,1.29,NA,NA,NA,1.4689
CD44,0.0082,NA,0,0.2089,0,NA,0.09215,NA,NA,NA,0
CD184,0.2013,NA,0.2053,0.9716,0,NA,0.92845,NA,NA,NA,0.4266
CD15,0.008,NA,0.0254,0,0,NA,0,NA,NA,NA,0.1601
HepaCam,0,NA,0,0.221,0,NA,0.0229,NA,NA,NA,0
CD129,0.2805,NA,0.293,0.4324,0.4883,NA,0.3398,NA,NA,NA,0.8424
CD56,0.78595,NA,1.2865,1.2579,0.9677,NA,1.0273,NA,NA,NA,0.4031
O4,0,NA,0,0,0,NA,0,NA,NA,NA,0
CD140a,0.01605,NA,0.0261,0,2.1995,NA,0.04995,NA,NA,NA,0.0287
CD133,0.281,NA,0.0639,0.2893,0.9351,NA,0.0475,NA,NA,NA,0
Glast,0.46525,NA,0.3852,3.9673,0.4604,NA,2.0535,NA,NA,NA,2.1906
CD71,0.1603,NA,0.163,0.5402,0.2541,NA,0.18215,NA,NA,NA,0.3506
