ident,Marker,StemCell,NPC,Neuron,Astrocyte,OPC,Oligo,RG,Endothelial,Pericyte,Epithelial,Microglia
AQP4,AQP4,0.166128640469751,0,0.013898104321899,0.314215669398716,NA,0.57620221151979,1.70485501406833,0.050274897033447,0.006408962616782,0.596970875971051,0.558439465878611
CD23,CD24,1.27173229745307,2.07626399268795,1.46061517510855,0.676893427578605,NA,0.695533225104171,0.322325768141612,0.888025587252076,1.42754813689149,0.95586726418233,0.317271084527873
CD44,CD44,0.043926327220815,0.359279474032093,0.009691210554101,0.184476386901577,NA,0.185065486602726,0.361348482176376,0.334474821947319,0.085736009947498,0.81181532798153,0.154387284021089
CXCR4,CD184,0.46580727556054,0.638207312975207,0.045236821087454,0.782740608200649,NA,1.27300646906037,0.714094941636634,0.390748816082923,0.088385334213084,0.188914395292022,0.174409694220533
Fut4/ssea1,CD15,0.003469982251266,0,0.002883666457366,0.005115189730613,NA,0.001905254159261,0.002562473697557,0.029057136040247,0.004844981399183,0.014729603377568,0.005628105972911
HepaCam,HepaCam,0.127228552458433,0.037705280270803,0.009157161812565,0.31470474771615,NA,0.29644126667582,0.395748860217934,0.047520770489929,0,0.266276558373173,0.110947563886175
ITGB1,CD29,0.931400857075606,0.923085377407793,0.374855807153541,0.905878562454986,NA,1.09329672108294,0.872169314764601,0.816594936878361,0.370420810043502,1.00278443316414,0.446179128776164
NCAM1,CD56,1.02652567905723,1.34466699050181,1.67406411113637,0.829809007484969,NA,0.403511440760732,0.523408081898584,0.384696676661301,0.726916183651775,0.505676693355566,0.097211636772847
NKX6-2,O4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PDGFRa,CD140a,0.01829387219532,0,0.00369630171343,0,NA,0.001347327403136,0,0,0.002396353014767,0.048276778754085,0
PROM1,CD133,0.030627030679037,0,0.008697787776718,0.024477365466183,NA,0.050486156208258,0.005148902894448,0.031703872694181,0.0137793561724,0.024894969899867,0.013471311944438
SLC1A3,Glast,0.29251874493414,0,0.014302914447676,1.12362705247601,NA,0.56016181820403,0.518510576493636,0.127605650300919,0.030845349905514,0.233599159942011,0.155797800982699
TFRC,CD71,0.028839875526474,0,0.026234560203602,0.027935715926535,NA,0.028425635514055,0.050649179723074,0.007328565607811,0.011712398442752,0.037504399099562,0.023539844554154
