"","Marker","StemCell","NPC","Neuron","Astrocyte","OPC","Oligo","RG","Endothelial","Pericyte","Epithelial","Microglia"
"1","AQP4",0.128253166769055,0,0.00773355874408458,0.279644094280495,NA,0.452631016042751,1,0.0566142437280649,0.00448948967194733,0.594384136965666,1
"2","CD24",1,1,0.872423471343938,0.602418236626656,NA,0.546370534642732,0.189063448493746,1,1,0.953105686958039,0.568138722123982
"3","CD44",0.0318990357788181,0.173041325812796,0.00521913579446379,0.164179374726754,NA,0.145376705539703,0.211952617198857,0.376649982555485,0.0600582269219934,0.809123926397849,0.276461986400239
"4","CD184",0.364543902130931,0.307382546353837,0.0264644307357067,0.696619582517003,NA,1,0.418859630727527,0.440019771605978,0.0619140832655525,0.186526443097088,0.312316204131684
"5","CD15",0,0,0.00115032729770312,0.00455239104411133,NA,0.00149665709135579,0.00150304493720092,0.0327210572053019,0.00339391805710526,0.012426506198675,0.0100782740418536
"6","HepaCam",0.0975812091266583,0.0181601570915794,0.00489993961646353,0.280079361762135,NA,0.232867054394962,0.232130507845093,0.053512839238088,0,0.263850918803141,0.198674289095269
"7","CD29",0.731655323746404,0.444589599713068,0.22347476399856,0.806209284885767,NA,0.85883045189073,0.511579757555644,0.919562396175147,0.259480433948868,1,0.798974922150561
"8","CD56",0.806659383112851,0.647637774019763,1,0.738509281755377,NA,0.316975169072449,0.307010319106001,0.433204495662917,0.509206074994184,0.503134428780153,0.174077304188916
"9","O4",0.00435972801526567,0,0,0.0718907331301448,NA,0,0,0.012797151703031,0.00478032671865671,0,0
"10","CD140a",0.0116883469345182,0,0.00163603215508719,0,NA,0.00105838221240972,0,0,0.00167864953400808,0.0459573388964,0
"11","CD133",0.0214128008868968,0,0.00462537584519953,0.0217842436351501,NA,0.0396589942276749,0.00302014121550493,0.0357015306195017,0.0096524634205364,0.0225869206104606,0.0241231373632291
"12","Glast",0.227909289125949,0,0.0079755101521006,1,NA,0.440030613997976,0.304137637637762,0.143695916123075,0.0216072222774079,0.231189439334465,0.278987805307738
"13","CD71",0.0200036640457705,0,0.0151069485889569,0.0248620891291076,NA,0.0223295295074474,0.0297087900760598,0.00825265140218387,0.0082045558675562,0.0351902070619556,0.0421529028524479
