Marker,Cell Type,Expression
AQP4,Astrocyte,0.317654740602128
AQP4,Endothelial,0.03006763003182
AQP4,Epithelial,0
AQP4,Microglial,0.032498007744836
AQP4,Neuron,0.013126526808289
AQP4,NPC,0.002457995935262
AQP4,Oligo,0.01434167717947
AQP4,OPC,0.094588760312546
AQP4,Pericyte,0.010588341245642
AQP4,RG,0.047878799413926
AQP4,StemCell,0.005163178092186
CD129,Astrocyte,0.17994746106362
CD129,Endothelial,0.579609254721505
CD129,Epithelial,0.174923957312987
CD129,Microglial,0.454121389377502
CD129,Neuron,0.132140240153417
CD129,NPC,0.346939209823471
CD129,Oligo,0.044701547042029
CD129,OPC,0.216792970404862
CD129,Pericyte,1
CD129,RG,0.287711699393539
CD129,StemCell,0.261346232487144
CD133,Astrocyte,0.112819914490798
CD133,Endothelial,0.057269310433848
CD133,Epithelial,0.746352528741558
CD133,Microglial,0.056086680330622
CD133,Neuron,0.045163768106567
CD133,NPC,0.031389991381053
CD133,Oligo,0.001261536418565
CD133,OPC,0.232766077965594
CD133,Pericyte,0.018346263203263
CD133,RG,0.099363901618923
CD133,StemCell,0.104785497333752
CD140a,Astrocyte,0.056550444644259
CD140a,Endothelial,0.000797790733354
CD140a,Epithelial,0.082693199979378
CD140a,Microglial,0.041173520721771
CD140a,Neuron,0.027049901117073
CD140a,NPC,0
CD140a,Oligo,0
CD140a,OPC,0.827570643472295
CD140a,Pericyte,0.059374477337347
CD140a,RG,0.027028385955166
CD140a,StemCell,0.065228833016122
CD15,Astrocyte,0.008059020225411
CD15,Endothelial,0
CD15,Epithelial,0.021601278548229
CD15,Microglial,0.053524251217869
CD15,Neuron,0.010536529424184
CD15,NPC,0.019770374232541
CD15,Oligo,0
CD15,OPC,0.019376607575808
CD15,Pericyte,0.018384859829918
CD15,RG,0.002210617370967
CD15,StemCell,0.011305242063929
CD184,Astrocyte,0.196278440611115
CD184,Endothelial,0.476245148805626
CD184,Epithelial,0.148218796721142
CD184,Microglial,0.387198418517572
CD184,Neuron,0.146340598000489
CD184,NPC,0.386863022590153
CD184,Oligo,0.003319832680433
CD184,OPC,0.122285073527458
CD184,Pericyte,0.48126133775908
CD184,RG,0.387137327304164
CD184,StemCell,0.144979886868433
CD24,Astrocyte,0.346794699645339
CD24,Endothelial,0.21483776820083
CD24,Epithelial,0.880600092797855
CD24,Microglial,0.677618064644769
CD24,Neuron,0.787695114625315
CD24,NPC,1
CD24,Oligo,0.00283845694177
CD24,OPC,0.555329349254476
CD24,Pericyte,0.309261903842937
CD24,RG,0.76031553205458
CD24,StemCell,1
CD44,Astrocyte,0.031143283673638
CD44,Endothelial,0.084534147538126
CD44,Epithelial,0
CD44,Microglial,0.059334592507538
CD44,Neuron,0.006000807092283
CD44,NPC,0.016663297119569
CD44,Oligo,0.001626718013412
CD44,OPC,0.025457150285321
CD44,Pericyte,0.151839129260103
CD44,RG,0.092213447948934
CD44,StemCell,0.012950173264576
CD56,Astrocyte,0.538590035074872
CD56,Endothelial,0.251808465341754
CD56,Epithelial,0.288188895189978
CD56,Microglial,0.518772653817251
CD56,Neuron,0.683271893221087
CD56,NPC,0.815065067727897
CD56,Oligo,1
CD56,OPC,0.790837444627226
CD56,Pericyte,0.424434237780951
CD56,RG,0.614917042737673
CD56,StemCell,0.471970386645003
CD71,Astrocyte,0.125217455465896
CD71,Endothelial,0.973167904520671
CD71,Epithelial,0.019332886528845
CD71,Microglial,0.250159829943653
CD71,Neuron,0.089843525934384
CD71,NPC,0.139148107555943
CD71,Oligo,0.008083792576854
CD71,OPC,0.073979473851325
CD71,Pericyte,0.357404762823729
CD71,RG,0.124993019776017
CD71,StemCell,0.123230452784737
Glast,Astrocyte,1
Glast,Endothelial,0.430346732126419
Glast,Epithelial,1
Glast,Microglial,0.863350987502407
Glast,Neuron,0.104405228633342
Glast,NPC,0.139031060130455
Glast,Oligo,0.269836000265587
Glast,OPC,0.460448655664999
Glast,Pericyte,0.628803375918278
Glast,RG,0.717906000704835
Glast,StemCell,0.323926088843335
HepaCam,Astrocyte,0.094467379714624
HepaCam,Endothelial,0.028778786940473
HepaCam,Epithelial,0
HepaCam,Microglial,0.023553484193328
HepaCam,Neuron,0.013444392560651
HepaCam,NPC,0.002575043360751
HepaCam,Oligo,0.175519553814488
HepaCam,OPC,0.072732226545978
HepaCam,Pericyte,0.020520539838152
HepaCam,RG,0.072260849869239
HepaCam,StemCell,0.001566022707329
O4,Astrocyte,0.00036532775926
O4,Endothelial,0.000507994954144
O4,Epithelial,0
O4,Microglial,0.027861942820788
O4,Neuron,0.002575305010726
O4,NPC,0.056991455537939
O4,Oligo,0.090996613770666
O4,OPC,0.002067918062154
O4,Pericyte,0
O4,RG,0.002035093480356
O4,StemCell,0
