"","AQP4","CD24","CD44","CD184","CD15","HepaCam","CD29","CD56","O4","CD140a","CD133","Glast","CD71"
"StemCell",0.107228227230578,0.75215849138618,0.16225119143199,0.175806073358664,0.0829764244919245,0.171913748738025,0.601735021217281,0.52782007084224,0.221053441817396,0.42867575108971,0.360806883027108,0.22517767074991,0.337332878094207
"NPC",0.0556920741230892,0.74563341591387,0.305884988446557,0.405746048460729,0.285880980163361,0.0238189443237052,0.316963100948862,0.6470808534673,0.393909370181087,0.0160233879404349,0.275911332268131,0.195904558022544,0.0277956414857534
"Neuron",0.177800399277767,0.868293011564314,0.0350703588788681,0.270960023318032,0.192218343030706,0.213144084837579,0.0547631243391638,0.734277161375189,0.272890197495725,0.198493672421443,0.0530222053729793,0.0215792519895354,0.286971046236216
"Astrocyte",0.742507484630322,0.0772759543066543,0.824104805359916,0.640624823620214,0.243776880945702,0.807914985434182,0.67065799317198,0.425491534672433,0.126442344885262,0.388761354123253,0.521773352587749,0.935702753897829,0.618148087413014
"OPC",0.159842138387713,0.120762267003463,0.107620337274772,0.0467354199313879,0.320512820512821,0.440942237580695,0.138034729931604,0.723638141039176,0.182810409826098,1,0.447319714848197,0.244821834240534,0.0384324528444988
"Oligo",0.0973705560656811,0.28992773034227,0.234436439094676,0.314935064935065,0.223540055107716,0.40918481159484,0.403231525161096,0.591171094250508,1,0.240830705834372,0.336333743816662,0.331474150698245,0.132340367323366
"RG",0.424232714963233,0.181060993063126,0.323283454309138,0.793900270953173,0.408710018684298,0.41795625091502,0.382417085461949,0.264315434092196,0.24534779049167,0.0612932291549238,0.480046067596606,0.616905563914204,0.471460603700696
"Endothelial",0.0560810110443004,0.221871657712387,0.253827867810575,0.628348474641592,0.666666666666667,0.0813109841513816,0.531025747795878,0.0607719163253776,0.0408876837448266,0.00150496626375105,0.713014409563195,0.0943226833161318,0.714897560354581
"Pericyte",0.109360468241381,0.315600207144944,0.380775522606102,0.27092839541252,0.223059854300179,0.0760720981096705,0.5,0.266419111057939,0.17753674896532,0.0534591823646784,0.136466679257175,0.304170002099488,0.253919002233741
"Epithelial",0.175079661040057,0.181523238863548,0.5,0.0661151609517532,0.753459311288732,0.672842262202695,0.463117877627737,0.333399771837928,NA,0.652761904761905,0.746552439020847,0.603948707637136,0.370236984138919
"Microglial",0.119650233484952,0.0331350076732286,0.158987098231006,0.272147574858591,0.391123437884003,0.118017360407087,0.533871234420117,0.0230800310480757,0.167953667953668,0.0105665767917034,0.0941328084400711,0.204005172667501,0.24669656969799
